"","Modelo","overall_accuracy","overall_error","Factor_0_Accuracy","Factor_1_Accuracy","Factor_2_Accuracy","Factor_3_Accuracy","Detalle_1","experimento","grupo","dataset"
"resumen_metricas","modelo_arboles - Gini",0.8075,0.1925,0.93023,0.75248,0.71569,0.84685,"minsplit=2",1,1,"moviles111"
"resumen_metricas.1","modelo_arboles - information",0.7725,0.2275,0.94186,0.68317,0.7549,0.73874,"minsplit=2",1,1,"moviles111"
"resumen_metricas1","modelo_arboles - Gini",0.7725,0.2275,0.92708,0.62105,0.65741,0.89109,"minsplit=2",1,2,"moviles111"
"resumen_metricas.11","modelo_arboles - information",0.7825,0.2175,0.9375,0.56842,0.72222,0.90099,"minsplit=2",1,2,"moviles111"
"resumen_metricas2","modelo_arboles - Gini",0.7575,0.2425,0.95,0.57692,0.71171,0.81176,"minsplit=2",1,3,"moviles111"
"resumen_metricas.12","modelo_arboles - information",0.7875,0.2125,0.96,0.63462,0.71171,0.87059,"minsplit=2",1,3,"moviles111"
"resumen_metricas3","modelo_arboles - Gini",0.8,0.2,0.91892,0.72165,0.66667,0.86869,"minsplit=2",1,4,"moviles111"
"resumen_metricas.13","modelo_arboles - information",0.8,0.2,0.91892,0.72165,0.66667,0.86869,"minsplit=2",1,4,"moviles111"
"resumen_metricas4","modelo_arboles - Gini",0.7725,0.2275,0.93458,0.67961,0.72093,0.74038,"minsplit=2",1,5,"moviles111"
"resumen_metricas.14","modelo_arboles - information",0.77,0.23,0.95327,0.65049,0.72093,0.74038,"minsplit=2",1,5,"moviles111"
"resumen_metricas5","modelo_arboles - Gini",0.785,0.215,0.92308,0.72619,0.6281,0.89423,"minsplit=2",2,1,"moviles111"
"resumen_metricas.15","modelo_arboles - information",0.8025,0.1975,0.94505,0.67857,0.70248,0.89423,"minsplit=2",2,1,"moviles111"
"resumen_metricas6","modelo_arboles - Gini",0.795,0.205,0.95876,0.7027,0.67059,0.84112,"minsplit=2",2,2,"moviles111"
"resumen_metricas.16","modelo_arboles - information",0.7775,0.2225,0.89691,0.69369,0.67059,0.84112,"minsplit=2",2,2,"moviles111"
"resumen_metricas7","modelo_arboles - Gini",0.78,0.22,0.86239,0.72165,0.67327,0.86022,"minsplit=2",2,3,"moviles111"
"resumen_metricas.17","modelo_arboles - information",0.775,0.225,0.87156,0.69072,0.67327,0.86022,"minsplit=2",2,3,"moviles111"
"resumen_metricas8","modelo_arboles - Gini",0.82,0.18,0.91818,0.75,0.82,0.77778,"minsplit=2",2,4,"moviles111"
"resumen_metricas.18","modelo_arboles - information",0.825,0.175,0.93636,0.75,0.74,0.86667,"minsplit=2",2,4,"moviles111"
"resumen_metricas9","modelo_arboles - Gini",0.7825,0.2175,0.97849,0.62037,0.76344,0.79245,"minsplit=2",2,5,"moviles111"
"resumen_metricas.19","modelo_arboles - information",0.7775,0.2225,0.97849,0.59259,0.77419,0.79245,"minsplit=2",2,5,"moviles111"
"resumen_metricas10","modelo_arboles - Gini",0.78,0.22,0.93137,0.58947,0.72277,0.86275,"minsplit=2",3,1,"moviles111"
"resumen_metricas.110","modelo_arboles - information",0.8,0.2,0.94118,0.63158,0.80198,0.81373,"minsplit=2",3,1,"moviles111"
"resumen_metricas11","modelo_arboles - Gini",0.7875,0.2125,0.90722,0.71429,0.70192,0.83168,"minsplit=2",3,2,"moviles111"
"resumen_metricas.111","modelo_arboles - information",0.795,0.205,0.95876,0.61224,0.82692,0.78218,"minsplit=2",3,2,"moviles111"
"resumen_metricas12","modelo_arboles - Gini",0.825,0.175,0.92929,0.81522,0.69697,0.85455,"minsplit=2",3,3,"moviles111"
"resumen_metricas.112","modelo_arboles - information",0.83,0.17,0.92929,0.79348,0.73737,0.85455,"minsplit=2",3,3,"moviles111"
"resumen_metricas13","modelo_arboles - Gini",0.79,0.21,0.92593,0.73585,0.56989,0.91398,"minsplit=2",3,4,"moviles111"
