"","Modelo","overall_accuracy","overall_error","Factor_0_Accuracy","Factor_1_Accuracy","Factor_2_Accuracy","Factor_3_Accuracy","Detalle_1","experimento","grupo","dataset"
"resumen_metricas","modelo_arboles - Gini",0.78,0.22,0.97778,0.58824,0.64444,0.9505,"detalle_1",1,1,"moviles111"
"resumen_metricas.1","modelo_arboles - information",0.77,0.23,0.97778,0.52101,0.68889,0.9505,"detalle_1",1,1,"moviles111"
"resumen_metricas1","modelo_arboles - Gini",0.81,0.19,0.94949,0.75824,0.65741,0.88235,"detalle_1",1,2,"moviles111"
"resumen_metricas.11","modelo_arboles - information",0.825,0.175,0.9697,0.72527,0.75926,0.84314,"detalle_1",1,2,"moviles111"
"resumen_metricas2","modelo_arboles - Gini",0.795,0.205,0.91304,0.75581,0.63441,0.83962,"detalle_1",1,3,"moviles111"
"resumen_metricas.12","modelo_arboles - information",0.7725,0.2275,0.93043,0.55814,0.69892,0.83962,"detalle_1",1,3,"moviles111"
"resumen_metricas3","modelo_arboles - Gini",0.785,0.215,0.92553,0.67347,0.7037,0.85,"detalle_1",1,4,"moviles111"
"resumen_metricas.13","modelo_arboles - information",0.775,0.225,0.92553,0.60204,0.73148,0.85,"detalle_1",1,4,"moviles111"
"resumen_metricas4","modelo_arboles - Gini",0.79,0.21,0.90196,0.76415,0.66337,0.83516,"detalle_1",1,5,"moviles111"
"resumen_metricas.14","modelo_arboles - information",0.775,0.225,0.90196,0.71698,0.69307,0.79121,"detalle_1",1,5,"moviles111"
"resumen_metricas5","modelo_arboles - Gini",0.8,0.2,0.89524,0.75789,0.78788,0.75248,"detalle_1",2,1,"moviles111"
"resumen_metricas.15","modelo_arboles - information",0.795,0.205,0.91429,0.71579,0.69697,0.84158,"detalle_1",2,1,"moviles111"
"resumen_metricas6","modelo_arboles - Gini",0.8075,0.1925,0.94898,0.61628,0.71296,0.92593,"detalle_1",2,2,"moviles111"
"resumen_metricas.16","modelo_arboles - information",0.81,0.19,0.94898,0.61628,0.75,0.89815,"detalle_1",2,2,"moviles111"
"resumen_metricas7","modelo_arboles - Gini",0.7925,0.2075,0.92553,0.77686,0.59551,0.86458,"detalle_1",2,3,"moviles111"
"resumen_metricas.17","modelo_arboles - information",0.765,0.235,0.96809,0.68595,0.55056,0.86458,"detalle_1",2,3,"moviles111"
"resumen_metricas8","modelo_arboles - Gini",0.795,0.205,0.92453,0.67961,0.73469,0.83871,"detalle_1",2,4,"moviles111"
"resumen_metricas.18","modelo_arboles - information",0.785,0.215,0.92453,0.69903,0.67347,0.83871,"detalle_1",2,4,"moviles111"
"resumen_metricas9","modelo_arboles - Gini",0.805,0.195,0.95876,0.74737,0.62264,0.90196,"detalle_1",2,5,"moviles111"
"resumen_metricas.19","modelo_arboles - information",0.81,0.19,0.98969,0.65263,0.69811,0.90196,"detalle_1",2,5,"moviles111"
"resumen_metricas10","modelo_arboles - Gini",0.84,0.16,0.97196,0.72,0.79545,0.85714,"detalle_1",3,1,"moviles111"
"resumen_metricas.110","modelo_arboles - information",0.8375,0.1625,0.97196,0.71,0.79545,0.85714,"detalle_1",3,1,"moviles111"
"resumen_metricas11","modelo_arboles - Gini",0.7975,0.2025,0.92661,0.75,0.79121,0.71,"detalle_1",3,2,"moviles111"
"resumen_metricas.111","modelo_arboles - information",0.835,0.165,0.94495,0.72,0.78022,0.88,"detalle_1",3,2,"moviles111"
"resumen_metricas12","modelo_arboles - Gini",0.79,0.21,0.91262,0.71134,0.75248,0.77778,"detalle_1",3,3,"moviles111"
"resumen_metricas.112","modelo_arboles - information",0.79,0.21,0.92233,0.71134,0.73267,0.78788,"detalle_1",3,3,"moviles111"
"resumen_metricas13","modelo_arboles - Gini",0.7825,0.2175,0.89535,0.74312,0.60526,0.94505,"detalle_1",3,4,"moviles111"
"resumen_metricas.113","modelo_arboles - information",0.7825,0.2175,0.89535,0.74312,0.60526,0.94505,"detalle_1",3,4,"moviles111"
"resumen_metricas14","modelo_arboles - Gini",0.7825,0.2175,0.92632,0.65957,0.71698,0.82857,"detalle_1",3,5,"moviles111"
"resumen_metricas.114","modelo_arboles - information",0.7775,0.2225,0.93684,0.65957,0.68868,0.82857,"detalle_1",3,5,"moviles111"
