"","Modelo","overall_accuracy","overall_error","Factor_0_Accuracy","Factor_1_Accuracy","Factor_2_Accuracy","Factor_3_Accuracy","Detalle_1","experimento","grupo","dataset"
"resumen_metricas","modelo_arboles - Gini",0.795,0.205,0.97826,0.68571,0.69811,0.84536,"minsplit=2",1,1,"moviles111"
"resumen_metricas.1","modelo_arboles - information",0.785,0.215,0.91304,0.70476,0.69811,0.84536,"minsplit=2",1,1,"moviles111"
"resumen_metricas1","modelo_arboles - Gini",0.795,0.205,0.91818,0.65591,0.8,0.78571,"minsplit=2",1,2,"moviles111"
"resumen_metricas.11","modelo_arboles - information",0.82,0.18,0.93636,0.66667,0.77647,0.86607,"minsplit=2",1,2,"moviles111"
"resumen_metricas2","modelo_arboles - Gini",0.8125,0.1875,0.89655,0.7551,0.71845,0.87952,"minsplit=2",1,3,"moviles111"
"resumen_metricas.12","modelo_arboles - information",0.82,0.18,0.91379,0.71429,0.76699,0.87952,"minsplit=2",1,3,"moviles111"
"resumen_metricas3","modelo_arboles - Gini",0.7875,0.2125,0.94845,0.7451,0.625,0.84536,"minsplit=2",1,4,"moviles111"
"resumen_metricas.13","modelo_arboles - information",0.7925,0.2075,0.95876,0.69608,0.68269,0.84536,"minsplit=2",1,4,"moviles111"
"resumen_metricas4","modelo_arboles - Gini",0.7925,0.2075,0.95294,0.58824,0.78431,0.86486,"minsplit=2",1,5,"moviles111"
"resumen_metricas.14","modelo_arboles - information",0.7975,0.2025,0.97647,0.62745,0.68627,0.91892,"minsplit=2",1,5,"moviles111"
"resumen_metricas5","modelo_arboles - Gini",0.795,0.205,0.95652,0.69231,0.65179,0.89524,"minsplit=2",2,1,"moviles111"
"resumen_metricas.15","modelo_arboles - information",0.7825,0.2175,0.97826,0.65934,0.61607,0.89524,"minsplit=2",2,1,"moviles111"
"resumen_metricas6","modelo_arboles - Gini",0.785,0.215,0.90756,0.72549,0.77273,0.7033,"minsplit=2",2,2,"moviles111"
"resumen_metricas.16","modelo_arboles - information",0.8,0.2,0.93277,0.71569,0.69318,0.82418,"minsplit=2",2,2,"moviles111"
"resumen_metricas7","modelo_arboles - Gini",0.76,0.24,0.94382,0.66667,0.71569,0.74257,"minsplit=2",2,3,"moviles111"
"resumen_metricas.17","modelo_arboles - information",0.77,0.23,0.93258,0.67593,0.68627,0.81188,"minsplit=2",2,3,"moviles111"
"resumen_metricas8","modelo_arboles - Gini",0.7925,0.2075,0.92708,0.67826,0.68182,0.89109,"minsplit=2",2,4,"moviles111"
"resumen_metricas.18","modelo_arboles - information",0.78,0.22,0.9375,0.63478,0.67045,0.89109,"minsplit=2",2,4,"moviles111"
"resumen_metricas9","modelo_arboles - Gini",0.815,0.185,0.94231,0.7381,0.67273,0.90196,"minsplit=2",2,5,"moviles111"
"resumen_metricas.19","modelo_arboles - information",0.82,0.18,0.90385,0.67857,0.82727,0.84314,"minsplit=2",2,5,"moviles111"
"resumen_metricas10","modelo_arboles - Gini",0.79,0.21,0.93069,0.66667,0.67059,0.85593,"minsplit=2",3,1,"moviles111"
"resumen_metricas.110","modelo_arboles - information",0.815,0.185,0.94059,0.63542,0.70588,0.9322,"minsplit=2",3,1,"moviles111"
"resumen_metricas11","modelo_arboles - Gini",0.82,0.18,0.93069,0.77358,0.6383,0.92929,"minsplit=2",3,2,"moviles111"
"resumen_metricas.111","modelo_arboles - information",0.7825,0.2175,0.93069,0.61321,0.71277,0.87879,"minsplit=2",3,2,"moviles111"
"resumen_metricas12","modelo_arboles - Gini",0.785,0.215,0.8866,0.66055,0.78899,0.82353,"minsplit=2",3,3,"moviles111"
"resumen_metricas.112","modelo_arboles - information",0.785,0.215,0.8866,0.6789,0.77064,0.82353,"minsplit=2",3,3,"moviles111"
"resumen_metricas13","modelo_arboles - Gini",0.805,0.195,0.91667,0.84,0.61,0.85577,"minsplit=2",3,4,"moviles111"
"resumen_metricas.113","modelo_arboles - information",0.8075,0.1925,0.91667,0.8,0.66,0.85577,"minsplit=2",3,4,"moviles111"
"resumen_metricas14","modelo_arboles - Gini",0.7775,0.2225,0.92381,0.68539,0.69643,0.79787,"minsplit=2",3,5,"moviles111"
"resumen_metricas.114","modelo_arboles - information",0.76,0.24,0.82857,0.74157,0.67857,0.79787,"minsplit=2",3,5,"moviles111"
"resumen_metricas15","modelo_arboles - Gini",0.7775,0.2225,0.92708,0.60606,0.79612,0.78431,"minsplit=2",1,1,"moviles112"
"resumen_metricas.115","modelo_arboles - information",0.785,0.215,0.92708,0.65657,0.71845,0.84314,"minsplit=2",1,1,"moviles112"
"resumen_metricas16","modelo_arboles - Gini",0.8125,0.1875,0.99074,0.74444,0.7,0.79412,"minsplit=2",1,2,"moviles112"
"resumen_metricas.116","modelo_arboles - information",0.8125,0.1875,0.99074,0.66667,0.77,0.79412,"minsplit=2",1,2,"moviles112"
"resumen_metricas21","modelo_arboles - Gini",0.775,0.225,0.92157,0.72174,0.63529,0.80612,"minsplit=2",1,3,"moviles112"
"resumen_metricas.121","modelo_arboles - information",0.7575,0.2425,0.93137,0.66087,0.56471,0.85714,"minsplit=2",1,3,"moviles112"
"resumen_metricas31","modelo_arboles - Gini",0.7975,0.2025,0.93814,0.6044,0.7037,0.93269,"minsplit=2",1,4,"moviles112"
"resumen_metricas.131","modelo_arboles - information",0.7975,0.2025,0.93814,0.6044,0.7037,0.93269,"minsplit=2",1,4,"moviles112"
"resumen_metricas41","modelo_arboles - Gini",0.82,0.18,0.90722,0.8,0.64423,0.94681,"minsplit=2",1,5,"moviles112"
"resumen_metricas.141","modelo_arboles - information",0.8175,0.1825,0.89691,0.8,0.63462,0.95745,"minsplit=2",1,5,"moviles112"
"resumen_metricas51","modelo_arboles - Gini",0.79,0.21,0.91667,0.75,0.74747,0.75238,"minsplit=2",2,1,"moviles112"
"resumen_metricas.151","modelo_arboles - information",0.81,0.19,0.94792,0.75,0.75758,0.79048,"minsplit=2",2,1,"moviles112"
"resumen_metricas61","modelo_arboles - Gini",0.805,0.195,0.93814,0.70192,0.61,0.9798,"minsplit=2",2,2,"moviles112"
"resumen_metricas.161","modelo_arboles - information",0.79,0.21,0.93814,0.68269,0.57,0.9798,"minsplit=2",2,2,"moviles112"
"resumen_metricas71","modelo_arboles - Gini",0.7625,0.2375,0.9,0.65591,0.64957,0.86667,"minsplit=2",2,3,"moviles112"
"resumen_metricas.171","modelo_arboles - information",0.75,0.25,0.91,0.54839,0.68376,0.86667,"minsplit=2",2,3,"moviles112"
"resumen_metricas81","modelo_arboles - Gini",0.8025,0.1975,0.93269,0.76042,0.65476,0.82759,"minsplit=2",2,4,"moviles112"
"resumen_metricas.181","modelo_arboles - information",0.8025,0.1975,0.93269,0.75,0.63095,0.85345,"minsplit=2",2,4,"moviles112"
"resumen_metricas91","modelo_arboles - Gini",0.8025,0.1975,0.93204,0.73832,0.78,0.75556,"minsplit=2",2,5,"moviles112"
"resumen_metricas.191","modelo_arboles - information",0.8025,0.1975,0.93204,0.68224,0.78,0.82222,"minsplit=2",2,5,"moviles112"
